2024-10-10 13:14:17,104 - telegram_bot_parser - INFO - Прокси не используется (Telegram).
2024-10-10 13:14:17,104 - telegram_bot_parser - INFO - Файл сессии найден: parsing\telegram_parser\session_name.session
2024-10-10 13:14:17,104 - telethon.network.mtprotosender - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-10-10 13:14:17,118 - telethon.network.mtprotosender - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-10-10 13:14:17,913 - telegram_bot_parser - INFO - Клиент подключен.
2024-10-10 13:14:17,913 - telegram_bot_parser - INFO - Клиент уже авторизован.
2024-10-10 13:14:17,913 - telegram_bot_parser - INFO - Начало обработки канала: rogov24
2024-10-10 13:14:24,164 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:24,675 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:25,293 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:25,781 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:26,272 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:26,698 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:27,463 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:27,936 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:28,996 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:29,555 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:34,272 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:35,101 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:36,057 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:36,638 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:37,463 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:37,697 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:38,050 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:38,568 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:39,027 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:39,598 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:40,208 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:43,612 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:44,267 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:44,906 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:45,616 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:46,555 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:47,171 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:48,536 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:49,861 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:53,295 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:54,686 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:56,031 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:58,044 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:58,882 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:14:59,546 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:15:00,115 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:15:01,285 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:15:02,440 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:15:03,488 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-10 13:15:04,726 - telethon.client.downloads - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
